,date,temperature,pressure,humidity,sunshine
319,2022-01-07 16:00:00,-7.2,763.7,83.0,7.19
320,2022-01-07 16:30:00,-7.1,763.7,82.0,7.19
321,2022-01-07 17:00:00,-7.2,763.7,83.0,7.19
322,2022-01-07 17:30:00,-7.3,763.7,83.0,7.19
323,2022-01-07 18:00:00,-7.3,763.7,83.0,7.19
324,2022-01-07 18:30:00,-7.4,763.8,83.0,7.19
325,2022-01-07 19:00:00,-7.5,763.8,83.0,7.19
326,2022-01-07 19:30:00,-7.6,763.8,83.0,7.19
327,2022-01-07 20:00:00,-7.7,763.8,83.0,7.19
328,2022-01-07 20:30:00,-7.8,763.9,83.0,7.19
329,2022-01-07 21:00:00,-7.9,763.9,83.0,7.19
330,2022-01-07 21:30:00,-8.1,763.9,83.0,7.19
331,2022-01-07 22:00:00,-8.3,764.0,83.0,7.19
332,2022-01-07 22:30:00,-8.4,764.0,83.0,7.19
333,2022-01-07 23:00:00,-8.4,764.0,83.0,7.19
334,2022-01-07 23:30:00,-8.4,764.0,83.0,7.19
335,2022-01-08 00:00:00,-8.4,764.0,83.0,7.19
336,2022-01-08 00:30:00,-8.6,764.1,84.0,7.21
337,2022-01-08 01:00:00,-8.7,764.1,84.0,7.21
338,2022-01-08 01:30:00,-8.6,764.1,84.0,7.21
339,2022-01-08 02:00:00,-8.8,764.1,84.0,7.21
340,2022-01-08 02:30:00,-8.7,764.1,84.0,7.21
341,2022-01-08 03:00:00,-8.8,764.1,84.0,7.21
342,2022-01-08 03:30:00,-8.9,764.2,84.0,7.21
343,2022-01-08 04:00:00,-8.9,764.2,84.0,7.21
344,2022-01-08 04:30:00,-8.8,764.1,84.0,7.21
345,2022-01-08 05:00:00,-8.8,764.1,84.0,7.21
346,2022-01-08 05:30:00,-8.7,764.1,84.0,7.21
347,2022-01-08 06:00:00,-8.6,764.1,84.0,7.21
348,2022-01-08 06:30:00,-8.6,764.1,84.0,7.21
349,2022-01-08 07:00:00,-8.5,764.1,84.0,7.21
350,2022-01-08 07:30:00,-8.4,764.0,83.0,7.21
351,2022-01-08 08:00:00,-8.3,764.0,83.0,7.21
352,2022-01-08 08:30:00,-8.1,763.9,83.0,7.21
353,2022-01-08 09:00:00,-8.1,763.9,83.0,7.21
354,2022-01-08 09:30:00,-8.0,763.9,83.0,7.21
355,2022-01-08 10:00:00,-7.7,763.8,83.0,7.21
356,2022-01-08 10:30:00,-7.6,763.8,83.0,7.21
357,2022-01-08 11:00:00,-7.6,763.8,83.0,7.21
